data,Charles River FIA,Ibovespa,BTC,SOL,SUI,XLU,GLDM,VGK,XLV,IWD,XLC,VIG,CDB 5a 14.1%,LCD 85% - BRDE,Guepardo FIA,Daycoval Classic CP,West Asset BDR,XP CDI Debêntures,Schroder CP HG,Trend Investback,Ibiuna CP,Real Investor FIM,Legacy FIM CP,JGP Deb FIM CP,Tarpon GT 90 FIA,Ascensus 15 18%,Contas Correntes,Resgatados
2023-05-31,20916.76,70120.93,2237.18,674.85,0,0,0,0,0,0,0,0,0,0,11800.24,0,0,0,10005.38,514.71,19954.4,0,0,0,0,0,45804.53,189858.5
2023-06-30,25336.42,71795.13,2461.56,659.98,0,0,0,0,0,0,0,0,0,0,12819.95,0,0,0,10068.91,582.89,19995.01,0,0,0,0,0,62473.79,194732.34
2023-07-31,26847.62,73482.96,2273.62,632.19,0,0,0,0,0,0,0,0,0,0,14272.53,0,0,0,10211.33,55.86,20247.07,0,0,0,0,0,46724.11,212877.18
2023-08-31,30025.25,62552.82,2148.66,591.89,0,0,0,0,0,0,0,0,0,0,18445.5,0,0,0,10369.8,118.3,20533.19,0,0,5037.59,0,0,39827.25,212858.55
2023-09-30,30869.6,61347.73,2192.2,669.98,0,0,0,0,0,0,0,0,8004.19,0,23077.81,0,0,0,10478.29,180.87,20818.08,0,0,10998.32,0,0,28358.96,199700.72
2023-10-31,29459.12,60327.92,2793.21,719.96,0,0,0,0,0,0,0,0,8092.86,0,22474.1,0,0,0,10584.39,240.84,21016.09,0,0,11042.57,0,0,38137.43,189244.16
2023-11-30,31693.72,63458.68,3390.7,1020.25,0,0,0,0,0,0,0,0,8162.1,0,25445.77,0,0,0,10574.35,300.51,20901.12,0,0,11268.22,4136.78,0,31018.31,176481.18
2023-12-31,33796.9,65828.06,3675.55,1100.88,0,0,0,0,0,0,0,0,8268.21,0,26131.01,0,0,0,10628.6,303.12,21184.65,0,0,11429.07,4572.47,0,20760.86,175411.95
2024-01-31,33822.12,70925.36,3748.82,1122.81,0,0,0,0,0,0,0,0,8359.59,0,25597.37,0,0,0,10742.7,71.24,21444.89,0,0,11575.13,4202.65,0,9279.2,174891.41
2024-02-29,33695.75,71353.2,5696.46,1823.83,0,0,0,0,0,0,0,0,8443.15,0,34958.92,0,10391.55,0,10863.92,54.91,21713.96,5689.83,0,11861.46,8553.23,0,6232.83,145287.46
2024-03-31,34223.29,72704.73,5718.37,2339.84,0,0,0,0,0,0,0,0,8536.47,0,35054.71,0,10612,0,10980.77,55.4,21971.45,5791.43,0,11991.07,9077.17,0,18248.36,131617.47
2024-04-30,34215.11,72420.17,4737.45,1824.91,0,0,0,0,0,0,0,0,8630.82,0,33259.75,0,10409.81,7500,11091.6,161.07,22557.78,15641.96,7500,11948.95,8892.23,0,11328.77,103995.38
2024-05-31,33062.61,73276.04,5323.18,1788.78,0,0,0,0,0,0,0,0,8726.21,0,36195.66,0,11101.33,7559.1,11098.42,62,22666.51,15746.26,7570.02,12007.83,15527.09,0,14435.51,84217.21
2024-06-30,32944.81,72437.36,5051.27,1597.98,0,0,0,0,0,0,0,0,8822.66,0,36402.15,0,12204.71,7633.38,11200.21,161.27,22860.15,20793.3,7632.73,12067.39,15328.27,0,10331.12,78785.99
2024-07-31,33924.86,73246,5581.13,2097.42,0,0,0,0,0,0,0,0,8924.85,0,37475.26,0,14410.28,7722.01,11324.35,228.27,23081.51,20801.6,7731.71,12273.06,15465.86,0,13806.94,67616.83
2024-08-31,35357.63,74810.37,5074.03,1658.6,0,0,0,0,0,0,0,0,9023.49,0,40263.29,0,14932.85,7811.07,11439.5,288.43,23284.26,21074.53,7838.89,12491.76,16486.23,0,6795.66,68642.75
2024-09-30,34081.88,73585.22,5167.9,1731.34,0,0,0,0,0,0,0,0,9123.22,0,38249.77,0,15094.93,7908.97,11560.09,347.18,23539.1,20985.15,7927.19,12536.77,16252.63,0,6144.8,62491.1045
